dvit,genoPC1,genoPC2,genoPC3,genoPC4,species,country_sean,east_west,cultivar,vinif_type,dvit,length,x1_mean,y1_mean,x2_mean,y2_mean,x3_mean,y3_mean,x4_mean,y4_mean,x5_mean,y5_mean,x6_mean,y6_mean,x7_mean,y7_mean,x8_mean,y8_mean,x9_mean,y9_mean,x10_mean,y10_mean,oPC1_mean,oPC2_mean,x1_sd,y1_sd,x2_sd,y2_sd,x3_sd,y3_sd,x4_sd,y4_sd,x5_sd,y5_sd,x6_sd,y6_sd,x7_sd,y7_sd,x8_sd,y8_sd,x9_sd,y9_sd,x10_sd,y10_sd,oPC1_sd,oPC2_sd,x1_sd,y1_sd,x2_sd,y2_sd,x3_sd,y3_sd,x4_sd,y4_sd,x5_sd,y5_sd,x6_sd,y6_sd,x7_sd,y7_sd,x8_sd,y8_sd,x9_sd,y9_sd,x10_sd,y10_sd,oPC1_sd,oPC2_sd
DVIT_558,0.0328,0.0325,-0.0096,-0.0056,vinifera,Greece,central,Sidezitis Proimo,table,DVIT 558,8,40.331944,-233.7670076,-121.7068999,655.1148171,-199.0669048,29.69231763,208.4898563,138.930671,-613.609659,210.7610331,522.2872928,359.746526,-302.950838,-288.9299895,376.7967409,-178.9261541,-485.2757435,-436.7167579,574.7042089,-255.9054596,95.56153329,3.177564249,24.97980624,27.48085592,74.90972606,44.60966657,33.47649723,44.68075374,28.57855111,52.52848905,50.11108154,67.83241655,69.2841686,30.43715392,53.91359429,34.71703458,75.57031197,21.05707987,45.75501414,67.63820921,33.99792601,38.60749071,0.081630104,6.876287336,3.12247578,3.43510699,9.363715758,5.576208321,4.184562153,5.585094218,3.572318888,6.566061132,6.263885193,8.479052069,8.660521076,3.804644239,6.739199286,4.339629323,9.446288996,2.632134984,5.719376768,8.454776151,4.249740751,4.825936338,0.010203763,0.859535917
DVIT_609,0.0199,0.041,-0.0187,-0.016,vinifera,Greece,central,Rodites,table,DVIT 609,9,44.46847133,-286.2227212,-85.93302344,613.1430428,-245.5267256,67.78133222,196.098156,83.709337,-565.3325339,226.4886728,449.4085331,423.5665611,-360.9856691,-302.0909558,443.2811281,-195.5283834,-479.968015,-397.3932177,604.4896738,-233.453668,24.99691448,-116.1518142,12.96872278,28.14225356,45.12063262,67.64221696,59.40847801,70.87484185,40.71353983,58.66866472,69.67365768,45.82985605,55.28721804,49.11464108,18.66665451,40.25530402,39.92216541,34.57618244,14.95379952,36.23566586,22.88504616,57.81576419,42.02880677,28.52196626,1.621090348,3.517781694,5.640079078,8.45527712,7.426059751,8.859355232,5.089192479,7.333583091,8.70920721,5.728732006,6.910902255,6.139330135,2.333331814,5.031913002,4.990270676,4.322022805,1.869224941,4.529458232,2.860630771,7.226970524,5.253600846,3.565245782
DVIT_2390,0.017,-0.0333,-0.0585,0.0151,vinifera,Hungary,central,Muscat Of Hungary,table,DVIT 2390,8,30.17964103,-177.4138854,-77.54621888,597.3408877,-269.921677,102.8092683,226.1584641,199.1271928,-605.6231986,143.9060671,520.5879109,319.3484908,-380.6666263,-313.4344203,454.167867,-168.3243378,-468.0070266,-440.2881462,570.6708556,-263.0711169,-74.35246848,42.17274888,17.39903073,50.91177763,45.63837295,50.94381815,64.42061205,62.678772,23.16386246,45.51598801,40.22384118,36.44895419,40.79262754,33.28674686,38.55538217,36.38878142,39.97435145,23.56522047,67.83849111,23.99680252,37.26558999,43.79817692,30.89457567,7.169815033,2.174878841,6.363972204,5.704796619,6.367977268,8.052576506,7.8348465,2.895482808,5.689498501,5.027980147,4.556119274,5.099078443,4.160843357,4.819422771,4.548597678,4.996793932,2.945652558,8.479811389,2.999600315,4.658198749,5.474772115,3.861821959,0.896226879
DVIT_607,0.0227,0.0483,-0.0353,-0.0731,vinifera,Serbia,central,Zlahtina,table,DVIT 607,8,31.45690325,-244.8174844,-119.9476973,714.6153836,-197.4189019,37.73076163,179.7026906,120.1259381,-588.8308125,171.4690063,494.4795528,343.6866163,-354.8780031,-304.5645063,443.7831933,-178.7197999,-452.4437586,-397.1509558,564.0968291,-262.3749621,67.93868857,-4.385308495,15.99219197,33.03650005,35.96981015,79.75233886,41.37905032,45.57069378,41.91323893,64.28766322,29.2967969,63.17024923,41.5579981,46.82998893,41.36132194,44.23347541,45.38430285,25.66272451,60.0878378,38.93980258,20.6709135,39.24368001,68.49574144,38.66486345,1.999023996,4.129562507,4.496226268,9.969042358,5.17238129,5.696336722,5.239154867,8.035957902,3.662099612,7.896281154,5.194749762,5.853748616,5.170165242,5.529184426,5.673037856,3.207840563,7.510979725,4.867475322,2.583864188,4.905460002,8.56196768,4.833107931
DVIT_570,0.0357,-0.0013,-0.0195,-0.0284,vinifera,Greece,central,Daphne,table,DVIT 570,8,45.25281238,-324.1476246,-109.7125309,659.2270468,-224.754856,50.82189475,198.8748826,115.5612036,-563.466891,171.132501,470.7276549,360.9375325,-357.1648258,-291.6179626,431.7839685,-165.2169691,-501.7935345,-355.4058288,610.2533173,-221.2917944,29.48575868,-115.9351925,18.24435527,60.78400014,58.5628612,55.54365283,63.86931806,60.53961906,25.80928123,81.63745938,54.64922192,56.92666669,75.53712641,36.93350451,55.99458536,29.65241873,50.88169287,42.03911206,24.81029249,26.34573934,31.19896347,37.51384442,47.67171596,59.71085091,2.280544409,7.598000018,7.32035765,6.942956604,7.983664758,7.567452383,3.226160154,10.20468242,6.83115274,7.115833336,9.442140802,4.616688064,6.999323169,3.706552341,6.360211609,5.254889008,3.101286562,3.293217418,3.899870433,4.689230552,5.958964495,7.463856364
DVIT_584,0.0252,0.0171,0.0289,0.0098,vinifera,Greece,central,Kurutaktas,table,DVIT 584,8,30.44748525,-219.7837016,-114.7337845,669.2508123,-248.6855781,103.3363024,208.6299536,158.9227259,-591.9103768,164.5981325,509.5244183,320.6507329,-312.2447731,-299.910158,394.8207995,-174.3383353,-432.8784011,-439.8827871,557.0302584,-282.8437214,15.8279667,72.5136027,16.99465459,61.86740737,119.1764973,57.87227783,72.87806572,56.10130555,38.45901946,45.27722209,50.88269226,68.79216104,85.7484686,84.67697514,75.12077238,38.38405169,68.26144419,23.02970744,80.33610724,42.69026136,86.45098391,41.96850111,49.83198336,30.60023369,2.124331824,7.733425922,14.89706217,7.234034729,9.109758215,7.012663194,4.807377433,5.659652761,6.360336533,8.59902013,10.71855857,10.58462189,9.390096548,4.798006461,8.532680524,2.87871343,10.0420134,5.336282671,10.80637299,5.246062639,6.22899792,3.825029211
DVIT_549,-0.0107,0.0412,-0.0289,0.0102,vinifera,Greece,central,White Corinth,table,DVIT 549,8,32.84949663,-196.9514288,-101.1286165,663.9803061,-286.1102333,107.5292796,225.2902939,189.695147,-563.3505284,195.618419,467.0287839,371.9441834,-327.9461856,-341.3851523,426.6474766,-238.2032389,-392.944075,-444.2730615,519.6635901,-307.9544539,-47.04910039,97.31976414,13.94098123,25.48352979,41.69274339,67.20467117,65.28554076,35.85938633,55.83794869,115.6428062,56.59159973,49.16802769,95.1333483,71.52952022,28.83595272,21.29872756,28.47023323,54.28612477,16.05104335,31.70289728,33.79207382,62.13334573,58.37839831,40.23877129,1.742622654,3.185441223,5.211592923,8.400583896,8.160692596,4.482423292,6.979743586,14.45535078,7.073949967,6.146003461,11.89166854,8.941190027,3.60449409,2.662340945,3.558779154,6.785765597,2.006380418,3.962862159,4.224009227,7.766668216,7.297299789,5.029846412
DVIT_1052,0.0307,0.0225,-0.0172,0.0287,vinifera,Greece,central,Black Corinth,table,DVIT 1052,8,25.45961775,-204.5940806,-114.2009069,572.6758513,-295.9417665,100.9536364,237.9692601,216.1484628,-574.489233,111.3023156,526.907626,341.7721461,-377.6964183,-283.2272964,450.40341,-186.4161891,-476.9599084,-386.1469738,598.5482916,-282.4678848,-101.5676334,17.26458897,10.72734415,29.51027524,41.61948177,70.32804336,56.98893132,39.94380887,38.29223935,72.17689486,51.55473912,34.08976369,57.26941804,32.97666028,48.84329559,21.57386406,45.86569789,19.12460882,44.61359322,42.27778977,45.70921848,65.51650759,1.475242875,11.00613691,1.340918019,3.688784405,5.202435222,8.791005421,7.123616414,4.992976109,4.786529919,9.022111858,6.44434239,4.261220462,7.158677256,4.122082535,6.105411948,2.696733008,5.733212237,2.390576102,5.576699153,5.284723721,5.71365231,8.189563449,0.184405359,1.375767114
DVIT_2646,-0.0174,-0.0498,-0.0452,0.0332,vinifera,Hungary,central,Pearl of Zola,table,DVIT 2646,8,42.4706225,-310.9432975,-91.94913375,529.92309,-318.0333163,118.7495913,271.0610138,206.183255,-510.513155,183.2833863,426.5140938,357.9280438,-418.5864813,-318.923655,502.5205313,-185.9186838,-500.320605,-367.6803013,596.83642,-212.6014288,-193.9258556,-140.69526,24.40761116,38.06819486,94.00534642,42.3624735,18.82463152,31.08938024,25.07902531,31.61381854,44.968204,42.53277177,57.76223705,30.05260869,22.24976548,30.57930774,18.91023571,43.04689595,29.81597545,31.48996303,24.93726615,64.99591239,14.7459537,32.58285604,3.050951395,4.758524357,11.7506683,5.295309188,2.35307894,3.88617253,3.134878163,3.951727318,5.6210255,5.316596472,7.220279631,3.756576086,2.781220685,3.822413468,2.363779463,5.380861994,3.726996931,3.936245378,3.117158268,8.124489049,1.843244213,4.072857006
DVIT_2643,-0.0357,-0.0448,-0.0178,0.0294,vinifera,Serbia,central,Muscat Oliver,table,DVIT 2643,8,30.08453475,-207.437383,-53.71359875,565.1724313,-210.6050989,82.79623338,164.0080038,119.5036663,-502.8616093,171.6845579,403.8463785,328.7782739,-334.3430275,-284.2283645,411.1170184,-151.150369,-461.397448,-404.2880353,553.8648469,-220.8310138,3.24318961,-70.10830694,21.87948148,58.23481932,42.94138721,134.2421994,151.0616124,35.27548375,132.014472,67.7086574,286.1771856,51.57749351,263.9282113,116.1443657,75.08900418,56.31328295,99.90943189,30.64147697,107.8116551,93.24391173,130.7517469,52.10991061,37.14547979,27.18476145,2.734935185,7.279352415,5.367673401,16.78027493,18.88270155,4.409435468,16.501809,8.463582175,35.7721482,6.447186688,32.99102642,14.51804571,9.386125522,7.039160369,12.48867899,3.830184621,13.47645688,11.65548897,16.34396836,6.513738827,4.643184974,3.398095182
